"ID","Album","Release Date","Track Number","Track Name","Duration (ms)","Spotify URL"
"MCZ00255","AMARANTHUS","2016-02-17","12","Guns N' Diamond","245093","https://open.spotify.com/track/2qzjGmGF1gzm1wNj8l653j"
"MCZ00256","AMARANTHUS","2016-02-17","13","バイバイでさようなら","283773","https://open.spotify.com/track/0n6zZVEs9c7926MLquhtYA"
"MCZ00257","AMARANTHUS","2016-02-17","14","HAPPY Re:BIRTHDAY","255240","https://open.spotify.com/track/7KRUIVxrP4pvhSJeVltUAN"
"MCZ00202","BLAST！","2017-08-02","1","Yum-Yum！","254359","https://open.spotify.com/track/4bdxRnWnpH49OPnXF8AQ0c"
"MCZ00203","BLAST！","2017-08-02","2","Survival of the Fittest -interlude-","48639","https://open.spotify.com/track/4z31M1hLyh16LCjLyANFJe"
"MCZ00204","BLAST！","2017-08-02","3","BLAST！","333679","https://open.spotify.com/track/6IVVMdFmlTmZaE2GEPXwrq"
"MCZ00205","BLAST！","2017-08-02","4","何時だって挑戦者","275626","https://open.spotify.com/track/22i3QlHzchBpebfvgYHlhU"
"MCZ00206","BLAST！","2017-08-02","5","境界のペンデュラム","275346","https://open.spotify.com/track/66oLRJj7f09RZVDZxSwoqb"
"MCZ00207","BLAST！","2017-08-02","6","Yum-Yum！(off vocal ver.)","254373","https://open.spotify.com/track/1Oqz5uKCkONBna1Drrlq7b"
"MCZ00208","BLAST！","2017-08-02","7","BLAST！(off vocal ver.)","333666","https://open.spotify.com/track/2htTowkTazZaiI9T2SFH2s"
"MCZ00209","BLAST！","2017-08-02","8","何時だって挑戦者(off vocal ver.)","275639","https://open.spotify.com/track/0dSBVJpdvmTDnWugsoRMnY"
"MCZ00210","BLAST！","2017-08-02","9","境界のペンデュラム(off vocal ver.)","275346","https://open.spotify.com/track/0Mut3i5FBbmG0sdvS0mtqZ"
"MCZ00307","Brand New Day","2024-02-09","1","Brand New Day","248959","https://open.spotify.com/track/3jYgnasfrPTdfPXXp8Y8gy"
"MCZ00323","BUTTOBI!","2021-12-24","1","BUTTOBI!","243772","https://open.spotify.com/track/5W9zmfHvHsoFugyGcM1C6d"
"MCZ00296","Cosmic Commotion","2025-07-16","1","Cosmic Commotion","217999","https://open.spotify.com/track/2IT4ByX4xO9m7TlSuyNKNv"
"MCZ00297","Cosmic Commotion","2025-07-16","2","Event Horizon","234610","https://open.spotify.com/track/5gxb71tg9dOgT00ZEbE2rw"
"MCZ00305","Cross Dimension","2024-04-26","1","Cross Dimension","264465","https://open.spotify.com/track/1qH3XZojmYqKdjEwThQsVZ"
"MCZ00291","Event Horizon","2025-07-23","1","Event Horizon","234610","https://open.spotify.com/track/6OYgdtzrMe0Sw1c5LG52Lm"
"MCZ00292","Event Horizon","2025-07-23","2","Cosmic Commotion","217999","https://open.spotify.com/track/46Vgy9BEwOAGaxNZoKULxQ"
"MCZ00293","Event Horizon","2025-07-23","3","可視光線","255399","https://open.spotify.com/track/5QcKrshDElM7wUQJuL85Lu"
"MCZ00294","Event Horizon","2025-07-23","4","Event Horizon (GAB edition)","160711","https://open.spotify.com/track/6nhonxa0hDj8udvzxO9xt3"
"MCZ00295","Event Horizon","2025-07-23","5","Cosmic Commotion (Sped Up ver.)","172181","https://open.spotify.com/track/24JVPkxoAerzr2rli5Hrt2"
"MCZ00342","GODSPEED","2018-11-16","1","GODSPEED","263427","https://open.spotify.com/track/1aFe2illdBDvEulZGMqVK0"
"MCZ00407","GOUNN","2013-11-06","1","GOUNN","346413","https://open.spotify.com/track/5vRaEZ4bh08F2UE3EOC0kX"
"MCZ00408","GOUNN","2013-11-06","2","いつか君が","276613","https://open.spotify.com/track/4kg2PIh84Zh51YiWb6Zl64"
"MCZ00409","GOUNN","2013-11-06","3","ももいろ太鼓どどんが節","244826","https://open.spotify.com/track/0jkOhpWSaK18ImAXoztWEL"
"MCZ00410","GOUNN","2013-11-06","4","GOUNN(off vocal ver.)","345746","https://open.spotify.com/track/4t2E6DG8rKrnG0cg9TlWUc"
"MCZ00411","GOUNN","2013-11-06","5","いつか君が(off vocal ver.)","276613","https://open.spotify.com/track/5krjQcjC3lUHgczBVIu6w5"
"MCZ00412","GOUNN","2013-11-06","6","ももいろ太鼓どどんが節(off vocal ver.)","241773","https://open.spotify.com/track/6EDaMGDDSKv1tr7sjlAEMy"
"MCZ00322","HAND","2022-02-11","1","HAND","216225","https://open.spotify.com/track/5SOrhFq4v05qhgXGy1GDFZ"
"MCZ00306","Heroes","2024-04-12","1","Heroes","224785","https://open.spotify.com/track/3qNxALLSqG3guruwjza4eE"
"MCZ00316","L.O.V.E","2022-12-23","1","L.O.V.E","208252","https://open.spotify.com/track/3Cvvirm4JfREN7c6EHNcQJ"
"MCZ00317","Majoram Therapie","2022-11-30","1","Majoram Therapie","263372","https://open.spotify.com/track/5DbAEwEIKoaCIOEo5CqHjv"
"MCZ00314","Majoram Therapie (ももクロ×シンデレラ ver.)","2022-12-30","1","Majoram Therapie - ももクロ×シンデレラ ver.","266118","https://open.spotify.com/track/5Vx6it9vnDFcmWPh9LwViG"
"MCZ00315","Majoram Therapie (ももクロ×シンデレラ ver.)","2022-12-30","2","Majoram Therapie - ももクロ×シンデレラ ver. - GAME VERSION","128518","https://open.spotify.com/track/3Gac2ZEqP8xDqFke8KSiD9"
"MCZ00211","MCZ WINTER SONG COLLECTION","2016-12-23","1","きみゆき","315946","https://open.spotify.com/track/6kcOdFmACGIVPMRY8G2rd6"
"MCZ00212","MCZ WINTER SONG COLLECTION","2016-12-23","2","サンタさん","290320","https://open.spotify.com/track/3ypQ5j6w5hTrIOIzewq6TG"
"MCZ00213","MCZ WINTER SONG COLLECTION","2016-12-23","3","白い風","255426","https://open.spotify.com/track/6yxEFaGx5DllBAXegm6oCs"
"MCZ00214","MCZ WINTER SONG COLLECTION","2016-12-23","4","僕等のセンチュリー","288760","https://open.spotify.com/track/4FKNItjHAshDNoqpUwvw6G"
"MCZ00215","MCZ WINTER SONG COLLECTION","2016-12-23","5","空のカーテン","366240","https://open.spotify.com/track/3qjRd5BBbWQQvg9zwNDkFB"
"MCZ00216","MCZ WINTER SONG COLLECTION","2016-12-23","6","泣いちゃいそう冬","265386","https://open.spotify.com/track/2bCT4S9GUI7YV9h3dB8E2j"
"MCZ00217","MCZ WINTER SONG COLLECTION","2016-12-23","7","JUMP!!!!!","230973","https://open.spotify.com/track/6CHXGaE1kJv2X182Mj4eTK"
"MCZ00218","MCZ WINTER SONG COLLECTION","2016-12-23","8","一粒の笑顔で…","306373","https://open.spotify.com/track/7cwnJPN3x2iQtyFGUbxWnj"
"MCZ00219","MCZ WINTER SONG COLLECTION","2016-12-23","9","今宵、ライブの下で","299506","https://open.spotify.com/track/1u6tzRxOeq9dNV4D1PTR64"
"MCZ00220","MCZ WINTER SONG COLLECTION","2016-12-23","10","真冬のサンサンサマータイム","277680","https://open.spotify.com/track/5EIFYJDwaivS7WQKsNhQZo"
"MCZ00221","MCZ WINTER SONG COLLECTION","2016-12-23","11","SECRET LOVE STORY","349586","https://open.spotify.com/track/74QNkyB9CG0IQnyGMn7wIh"
"MCZ00163","MOMOIRO CLOVER Z","2019-05-17","1","ロードショー","267533","https://open.spotify.com/track/2WKSUjEXIWSvdtLF36G9IF"
"MCZ00164","MOMOIRO CLOVER Z","2019-05-17","2","The Diamond Four","225160","https://open.spotify.com/track/3LaQXcw7Z8fB937bfDNIWL"
"MCZ00165","MOMOIRO CLOVER Z","2019-05-17","3","GODSPEED","261760","https://open.spotify.com/track/2xzXpWyjUtLXAAlT9rif2c"
"MCZ00166","MOMOIRO CLOVER Z","2019-05-17","4","あんた飛ばしすぎ!!","245773","https://open.spotify.com/track/5WmGRjeFIfOMDj8TVpPP8q"
"MCZ00167","MOMOIRO CLOVER Z","2019-05-17","5","魂のたべもの","307586","https://open.spotify.com/track/7dT5VJOJV33Xb6KvCwIw6s"
"MCZ00168","MOMOIRO CLOVER Z","2019-05-17","6","Re:Story","319586","https://open.spotify.com/track/0qJQ8eGMelr53wblwJCqXw"
